"ORIGIN","DEST"
"ATL","GNV"
"GNV","ATL"
"ORD","PBI"
"PBI","ORD"
"DFW","MIA"
"MIA","DFW"
"MIA","BOS"
"MCO","MIA"
"MIA","MCO"
"ORD","TPA"
"MCO","ORD"
"ORD","MCO"
"MIA","JFK"
"JFK","MIA"
"MIA","LGA"
"PHL","MIA"
"MCO","DFW"
"DFW","MCO"
"LGA","MCO"
"MIA","SEA"
"ATL","MIA"
"MIA","SFO"
"MCO","LAX"
"MIA","BWI"
"MIA","PHL"
"ORD","MIA"
"MIA","ORD"
"DCA","MIA"
"MIA","DCA"
"SFO","MIA"
"LAX","MIA"
"MIA","LAX"
"MIA","PHX"
"MCO","JFK"
"JFK","MCO"
"SJU","MIA"
"FLL","DFW"
"MIA","SJU"
"MIA","LAS"
"LAS","MIA"
"MIA","CLT"
"MIA","MSY"
"JAX","DFW"
"TPA","DFW"
"DFW","TPA"
"MCO","PHL"
"PHL","MCO"
"LGA","MIA"
"DCA","TPA"
"STL","MIA"
"MIA","SAT"
"DFW","JAX"
"MIA","TPA"
"PNS","DFW"
"MIA","STT"
"STT","MIA"
"CLT","MIA"
"DFW","PBI"
"PBI","DFW"
"MIA","BDL"
"TPA","ORD"
"FLL","ORD"
"ORD","FLL"
"BWI","MIA"
"MIA","ATL"
"CLT","RSW"
"MIA","STL"
"TPA","DCA"
"RSW","ORD"
"BOS","MIA"
"DEN","MIA"
"DFW","FLL"
"DCA","MCO"
"MCO","DCA"
"EGE","MIA"
"MIA","EGE"
"EWR","MIA"
"PHX","MIA"
"PBI","PHL"
"PHL","PBI"
"DFW","RSW"
"LAX","MCO"
"DFW","PNS"
"MIA","DEN"
"TPA","MIA"
"BDL","MIA"
"RSW","DFW"
"ORD","RSW"
"DFW","VPS"
"MIA","RDU"
"RDU","MIA"
"MIA","BNA"
"BNA","MIA"
"MIA","SAN"
"SAN","MIA"
"MIA","IAH"
"FLL","PHL"
"CLT","FLL"
"PHX","MCO"
"PHL","FLL"
"MSY","MIA"
"TPA","CLT"
"PHL","TPA"
"TPA","PHL"
"MCO","PHX"
"FLL","CLT"
"DCA","PBI"
"PBI","DCA"
"TPA","PHX"
"RSW","PHL"
"CLT","TPA"
"PHX","TPA"
"CLT","MCO"
"SAT","MIA"
"JAX","CLT"
"CLT","JAX"
"PHL","RSW"
"PNS","CLT"
"CLT","PBI"
"MCO","CLT"
"PBI","CLT"
"SEA","MIA"
"RSW","CLT"
"DTW","MIA"
"MIA","DTW"
"MIA","EWR"
"IAH","MIA"
"VPS","DFW"
"CLT","PNS"
"SFO","MCO"
"MCO","SFO"
"FLL","LAX"
"LAX","FLL"
"SFO","FLL"
"FLL","SFO"
"MYR","FLL"
"DTW","MCO"
"MCO","DTW"
"MCO","EWR"
"FLL","DEN"
"DEN","FLL"
"FLL","MYR"
"MSP","MCO"
"MCO","ACY"
"EWR","MCO"
